Country seperate (group),subtitle,Page 1,Company and Scientific Name1,Deal not on Map,Deal Period1 11,"Potential (1=yes, 0=no)1",3 Star Note,Company's Country,Country seperate,Date of Deal,Day,Deal within Africa1,Deal within Europe1,Group Latin America,Month,Month-Day,Number of Deal1,Number of Deal1 (group),Number of Doses Needed per Person,Partners,Purchaser Entity / Country1,Purchaser's country Economic  Status,Purchaser's Country Income Status,Tooltip deal amount,Type of Vaccine,Year,% Of National Population Able To Be Vaccinated,Deal Amount,Number of people able to be vaccinated with doses procured,Population
African Union,This map shows the percentage of the population able to be covered by confirmed deals made between May 2020 and January 2021,January 2021,Oxford-AstraZeneca _AZD1222,0,January 2021,Confirmed,0,UK,Burundi,Thu Jan 14 00:00:00 EST 2021,14,0,0,0,Jan,Jan 14,1,1st deal,2,AstraZeneca,African Union,Low income,LMIC,vaccines,Adenoviral,2021,3.676475049,100000000,50000000,1359998350
African Union,This map shows the percentage of the population able to be covered by confirmed deals made between May 2020 and February 2021,February 2021,Oxford-AstraZeneca _AZD1222,0,January 2021,Confirmed,0,UK,Burundi,Thu Jan 14 00:00:00 EST 2021,14,0,0,0,Jan,Jan 14,1,1st deal,2,AstraZeneca,African Union,Low income,LMIC,vaccines,Adenoviral,2021,3.676475049,100000000,50000000,1359998350
African Union,This map shows the percentage of the population able to be covered by confirmed deals made between May 2020 and January 2021,January 2021,Oxford-AstraZeneca _AZD1222,0,January 2021,Confirmed,0,UK,Cameroon,Thu Jan 14 00:00:00 EST 2021,14,0,0,0,Jan,Jan 14,1,1st deal,2,AstraZeneca,African Union,Low income,LMIC,unknown amount,Adenoviral,2021,,,,1359998350
African Union,This map shows the percentage of the population able to be covered by confirmed deals made between May 2020 and February 2021,February 2021,Oxford-AstraZeneca _AZD1222,0,January 2021,Confirmed,0,UK,Cameroon,Thu Jan 14 00:00:00 EST 2021,14,0,0,0,Jan,Jan 14,1,1st deal,2,AstraZeneca,African Union,Low income,LMIC,unknown amount,Adenoviral,2021,,,,1359998350
African Union,This map shows the percentage of the population able to be covered by confirmed deals made between May 2020 and January 2021,January 2021,Oxford-AstraZeneca _AZD1222,0,January 2021,Confirmed,0,UK,Central African Republic,Thu Jan 14 00:00:00 EST 2021,14,0,0,0,Jan,Jan 14,1,1st deal,2,AstraZeneca,African Union,Low income,LMIC,unknown amount,Adenoviral,2021,,,,1359998350
African Union,This map shows the percentage of the population able to be covered by confirmed deals made between May 2020 and February 2021,February 2021,Oxford-AstraZeneca _AZD1222,0,January 2021,Confirmed,0,UK,Central African Republic,Thu Jan 14 00:00:00 EST 2021,14,0,0,0,Jan,Jan 14,1,1st deal,2,AstraZeneca,African Union,Low income,LMIC,unknown amount,Adenoviral,2021,,,,1359998350
African Union,This map shows the percentage of the population able to be covered by confirmed deals made between May 2020 and January 2021,January 2021,Oxford-AstraZeneca _AZD1222,0,January 2021,Confirmed,0,UK,Chad,Thu Jan 14 00:00:00 EST 2021,14,0,0,0,Jan,Jan 14,1,1st deal,2,AstraZeneca,African Union,Low income,LMIC,unknown amount,Adenoviral,2021,,,,1359998350
African Union,This map shows the percentage of the population able to be covered by confirmed deals made between May 2020 and February 2021,February 2021,Oxford-AstraZeneca _AZD1222,0,January 2021,Confirmed,0,UK,Chad,Thu Jan 14 00:00:00 EST 2021,14,0,0,0,Jan,Jan 14,1,1st deal,2,AstraZeneca,African Union,Low income,LMIC,unknown amount,Adenoviral,2021,,,,1359998350
African Union,This map shows the percentage of the population able to be covered by confirmed deals made between May 2020 and January 2021,January 2021,Oxford-AstraZeneca _AZD1222,0,January 2021,Confirmed,0,UK,Congo Republic,Thu Jan 14 00:00:00 EST 2021,14,0,0,0,Jan,Jan 14,1,1st deal,2,AstraZeneca,African Union,Low income,LMIC,unknown amount,Adenoviral,2021,,,,1359998350
African Union,This map shows the percentage of the population able to be covered by confirmed deals made between May 2020 and February 2021,February 2021,Oxford-AstraZeneca _AZD1222,0,January 2021,Confirmed,0,UK,Congo Republic,Thu Jan 14 00:00:00 EST 2021,14,0,0,0,Jan,Jan 14,1,1st deal,2,AstraZeneca,African Union,Low income,LMIC,unknown amount,Adenoviral,2021,,,,1359998350
African Union,This map shows the percentage of the population able to be covered by confirmed deals made between May 2020 and January 2021,January 2021,Oxford-AstraZeneca _AZD1222,0,January 2021,Confirmed,0,UK,DR Congo,Thu Jan 14 00:00:00 EST 2021,14,0,0,0,Jan,Jan 14,1,1st deal,2,AstraZeneca,African Union,Low income,LMIC,unknown amount,Adenoviral,2021,,,,1359998350
African Union,This map shows the percentage of the population able to be covered by confirmed deals made between May 2020 and February 2021,February 2021,Oxford-AstraZeneca _AZD1222,0,January 2021,Confirmed,0,UK,DR Congo,Thu Jan 14 00:00:00 EST 2021,14,0,0,0,Jan,Jan 14,1,1st deal,2,AstraZeneca,African Union,Low income,LMIC,unknown amount,Adenoviral,2021,,,,1359998350
African Union,This map shows the percentage of the population able to be covered by confirmed deals made between May 2020 and January 2021,January 2021,Oxford-AstraZeneca _AZD1222,0,January 2021,Confirmed,0,UK,Equatorial Guinea,Thu Jan 14 00:00:00 EST 2021,14,0,0,0,Jan,Jan 14,1,1st deal,2,AstraZeneca,African Union,Low income,LMIC,unknown amount,Adenoviral,2021,,,,1359998350
African Union,This map shows the percentage of the population able to be covered by confirmed deals made between May 2020 and February 2021,February 2021,Oxford-AstraZeneca _AZD1222,0,January 2021,Confirmed,0,UK,Equatorial Guinea,Thu Jan 14 00:00:00 EST 2021,14,0,0,0,Jan,Jan 14,1,1st deal,2,AstraZeneca,African Union,Low income,LMIC,unknown amount,Adenoviral,2021,,,,1359998350
African Union,This map shows the percentage of the population able to be covered by confirmed deals made between May 2020 and January 2021,January 2021,Oxford-AstraZeneca _AZD1222,0,January 2021,Confirmed,0,UK,Gabon,Thu Jan 14 00:00:00 EST 2021,14,0,0,0,Jan,Jan 14,1,1st deal,2,AstraZeneca,African Union,Low income,LMIC,unknown amount,Adenoviral,2021,,,,1359998350
